Date,Max Temperature (°C),Max Wind Speed (m/s),Total Solar Radiation (MJ/m^2)
2025-02-10,31.5,3.94,24.31
2025-02-11,31.6,4.13,22.86
2025-02-12,31.4,4.53,23.53
2025-02-13,28.5,3.81,16.51
2025-02-14,29.5,3.86,20.85
2025-02-15,31.1,2.78,15.67
2025-02-16,34.5,4.1,26.95
2025-02-17,28.07299995422364,4.177319526672363,19.549999237060547
2025-02-18,29.57299995422364,3.6069376468658447,20.6200008392334
2025-02-19,32.83449935913086,5.522680282592773,21.93000030517578
2025-02-20,32.83449935913086,5.522680282592773,21.93000030517578
2025-02-21,32.88450241088867,6.957010746002197,28.76000022888184
2025-02-22,32.33449935913086,8.005622863769531,23.709999084472656
2025-02-23,33.33449935913086,6.400000095367432,26.82999992370605
2025-02-24,33.78450012207031,6.258594036102295,28.670000076293945
2025-02-25,34.28450012207031,6.648307800292969,27.030000686645508
2025-02-26,32.234500885009766,6.484597206115723,26.450000762939453
2025-02-27,34.68450164794922,6.226556301116943,29.06999969482422
2025-02-28,35.63450241088867,7.360027313232422,28.89999961853028
2025-03-01,37.38450241088867,7.017834186553955,28.559999465942383
2025-03-02,37.93450164794922,5.3338541984558105,28.0
2025-03-03,39.83449935913086,4.810405254364014,27.950000762939453
2025-03-04,39.58449935913086,5.420331954956055,24.89999961853028
2025-03-05,38.484500885009766,5.920303821563721,23.36000061035156
2025-03-06,35.33449935913086,4.548625946044922,20.989999771118164
2025-03-07,33.53450012207031,3.2984845638275146,23.100000381469727
2025-03-08,35.33449935913086,1.720465064048767,24.889999389648438
2025-03-09,38.734500885009766,3.6878178119659424,25.6299991607666
2025-03-10,36.93450164794922,4.5,26.299999237060547
2025-03-11,34.18450164794922,5.420331954956055,23.760000228881836
2025-03-12,33.83449935913086,5.685947418212891,22.81999969482422
2025-03-13,33.984500885009766,5.671860218048096,25.059999465942383
