Date,Solar (Utility) -  GWh,Solar (Utility) - GWh,Wind - GWh,DOY
2024-06-10,,16.169847,6.4349042,162.0
2024-06-11,,16.020397,3.6123587,163.0
2024-06-12,,13.977592,8.8639561,164.0
2024-06-13,,13.96272,4.7824317,165.0
2024-06-14,,15.338331,1.4467144,166.0
2024-06-15,,16.792116999999998,4.6201876,167.0
2024-06-16,,14.320123,7.7661246,168.0
2024-06-17,,17.234706,10.554622,169.0
2024-06-18,,17.281865000000003,7.7496728,170.0
2024-06-19,,17.23534,3.5516021,171.0
2024-06-20,,12.470383,3.1015245,172.0
2024-06-21,,12.265655,5.4506959,173.0
2024-06-22,,10.46592,8.6357228,174.0
2024-06-23,,16.5947,5.1722369,175.0
2024-06-24,,16.492834,5.9507212,176.0
2024-06-25,,11.703571,9.012206,177.0
2024-06-26,,7.4926908,6.439678799999999,178.0
2024-06-27,,6.2507433,2.4872895,179.0
2024-06-28,,10.245493,5.564223699999999,180.0
2024-06-29,,8.5719525,11.329038,181.0
2024-06-30,,11.148018,9.004419400000002,182.0
2024-07-01,,7.0628439,3.5503853,183.0
2024-07-02,,7.8451739,4.4878954,184.0
2024-07-03,,13.508568,9.1234971,185.0
2024-07-04,,10.226687,11.25649,186.0
2024-07-05,,11.713175,14.521876,187.0
2024-07-06,,10.731818,15.839394,188.0
2024-07-07,,10.783527,16.690617999999997,189.0
2024-07-08,,8.855358599999999,12.708493,190.0
2024-07-09,,12.567859,6.2684169,191.0
2024-07-10,,15.360352,5.9043234,192.0
2024-07-11,,17.323324,5.2890036,193.0
2024-07-12,,16.92522,2.519874,194.0
2024-07-13,,14.867929,9.1085509,195.0
2024-07-14,,14.162452,8.838544299999999,196.0
2024-07-15,,14.569217,6.7944361,197.0
2024-07-16,,16.038323000000002,8.212819600000001,198.0
2024-07-17,,14.739294,9.3820714,199.0
2024-07-18,,14.496043,8.823043799999999,200.0
2024-07-19,,17.633256000000003,7.5769313,201.0
2024-07-20,,14.714587,9.7992656,202.0
2024-07-21,,12.502696,13.867446,203.0
2024-07-22,,18.992093,9.4674927,204.0
2024-07-23,,17.429472,7.325268100000001,205.0
2024-07-24,,16.546792,11.501008,206.0
2024-07-25,,11.911117,10.739081,207.0
2024-07-26,,13.039323,9.366327,208.0
2024-07-27,,9.0680073,6.59288,209.0
2024-07-28,,12.282028,10.921606,210.0
2024-07-29,,16.710744,13.748354,211.0
2024-07-30,,17.260720000000003,10.55138,212.0
2024-07-31,,17.854281,7.4457895,213.0
2024-08-01,,17.211385,6.9507472,214.0
2024-08-02,,17.641701,6.3787862,215.0
2024-08-03,,17.163473999999997,7.8310999,216.0
2024-08-04,,14.987127,7.8974446,217.0
2024-08-05,,11.048702,9.4407218,218.0
2024-08-06,,9.5535707,5.701641400000001,219.0
2024-08-07,,12.20995,4.8226884,220.0
2024-08-08,,16.385066,12.266106,221.0
2024-08-09,,15.946062,12.429421,222.0
2024-08-10,,12.678804,12.00711,223.0
2024-08-11,,9.6611039,8.6761154,224.0
2024-08-12,,5.3653369,8.5981272,225.0
2024-08-13,,7.387906,11.728697,226.0
2024-08-14,,12.11397,6.470652,227.0
2024-08-15,,16.955733,1.958336,228.0
