Date,Latitude,Longitude,temperature_2m_max,sunshine_duration,rain_sum,wind_speed_10m_max,shortwave_radiation_sum,DOY
2024-03-27 00:00:00+10:00,-20.984182357788086,145.0405731201172,32.0405,39265.63,0.2,4.031129,19.93,86
2024-03-28 00:00:00+10:00,-20.984182357788086,145.0405731201172,31.690498,29475.076,11.4,6.0,17.57,87
2024-03-29 00:00:00+10:00,-20.984182357788086,145.0405731201172,28.9905,35323.96,0.6,7.209022,15.08,88
2024-03-30 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.2405,39612.246,0.0,7.4330344,22.55,89
2024-03-31 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.3405,39684.49,0.0,6.3788714,21.46,90
2024-04-01 00:00:00+10:00,-20.984182357788086,145.0405731201172,30.4905,39571.758,0.0,4.527693,22.68,91
2024-04-02 00:00:00+10:00,-20.984182357788086,145.0405731201172,31.2405,39577.797,0.0,4.4553337,21.45,92
2024-04-03 00:00:00+10:00,-20.984182357788086,145.0405731201172,31.3405,39467.945,0.0,5.4708314,22.0,93
2024-04-04 00:00:00+10:00,-20.984182357788086,145.0405731201172,30.940498,39415.59,0.0,4.7201695,20.57,94
2024-04-05 00:00:00+10:00,-20.984182357788086,145.0405731201172,30.2405,39309.082,0.5,3.5902646,18.15,95
2024-04-06 00:00:00+10:00,-20.984182357788086,145.0405731201172,30.440498,36147.785,0.5,5.223983,17.87,96
2024-04-07 00:00:00+10:00,-20.984182357788086,145.0405731201172,31.190498,39205.953,0.0,4.2201896,21.37,97
2024-04-08 00:00:00+10:00,-20.984182357788086,145.0405731201172,31.6405,39203.945,0.0,2.7658634,23.39,98
2024-04-09 00:00:00+10:00,-20.984182357788086,145.0405731201172,30.4905,39150.805,0.0,5.3037724,23.5,99
2024-04-10 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.6405,39097.7,0.0,4.62277,23.78,100
2024-04-11 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.9905,39044.684,0.0,4.204759,24.03,101
2024-04-12 00:00:00+10:00,-20.984182357788086,145.0405731201172,28.690498,38991.85,0.0,4.7265205,23.67,102
2024-04-13 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.1405,38897.137,0.0,6.306346,18.09,103
2024-04-14 00:00:00+10:00,-20.984182357788086,145.0405731201172,30.040499,38846.453,0.0,6.0827627,22.68,104
2024-04-15 00:00:00+10:00,-20.984182357788086,145.0405731201172,30.2405,32655.982,0.0,5.7584724,19.23,105
2024-04-16 00:00:00+10:00,-20.984182357788086,145.0405731201172,28.790499,18114.996,0.3,6.462198,11.56,106
2024-04-17 00:00:00+10:00,-20.984182357788086,145.0405731201172,30.3405,26547.459,4.2,6.1,15.28,107
2024-04-18 00:00:00+10:00,-20.984182357788086,145.0405731201172,30.9905,35532.477,0.0,5.27731,15.61,108
2024-04-19 00:00:00+10:00,-20.984182357788086,145.0405731201172,30.690498,36362.26,1.6,4.2426405,18.64,109
2024-04-20 00:00:00+10:00,-20.984182357788086,145.0405731201172,31.4905,34921.406,0.0,5.622277,18.93,110
2024-04-21 00:00:00+10:00,-20.984182357788086,145.0405731201172,26.5905,38475.766,0.0,6.5115285,22.16,111
2024-04-22 00:00:00+10:00,-20.984182357788086,145.0405731201172,26.3405,37749.3,0.0,7.7833157,17.28,112
2024-04-23 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.8405,25024.963,0.0,7.3164196,14.88,113
2024-04-24 00:00:00+10:00,-20.984182357788086,145.0405731201172,30.0905,33062.246,0.0,4.925444,19.35,114
2024-04-25 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.5905,38300.312,0.0,4.1231055,18.59,115
2024-04-26 00:00:00+10:00,-20.984182357788086,145.0405731201172,28.540499,38257.633,0.0,4.3011627,19.18,116
2024-04-27 00:00:00+10:00,-20.984182357788086,145.0405731201172,28.8905,38215.5,0.0,5.830952,20.97,117
2024-04-28 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.290499,22053.457,0.0,7.368175,11.28,118
2024-04-29 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.540499,38133.047,0.0,5.5,19.94,119
2024-04-30 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.8905,36580.28,0.0,5.4129477,19.74,120
2024-05-01 00:00:00+10:00,-20.984182357788086,145.0405731201172,28.1405,34453.3,2.3000002,6.3505907,13.95,121
2024-05-02 00:00:00+10:00,-20.984182357788086,145.0405731201172,28.7405,38014.56,0.1,6.7007456,19.72,122
