date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2024-02-24,-1.75,-1.43,84.25,268.94,0.82,0.00,1.10,19.06,3.27,0.80,1.65,1.15,25.31,60.49,36.16,63.10,100012.87,240360.65,31.80,0.14,633.50,8856.22,2110.18,471.66,1025.02,627.98,72.32,-14215.31,126097.49,-459800.13,25766952.20,84065.51,1.44,22275.26,2528921.41,386823.50,100360.57,214273.42,74485.23,1420970.91,2124793.65,1796387.16,0.00
2024-02-25,-1.60,-7.77,89.55,250.04,0.60,0.01,1.21,14.03,2.31,1.52,1.72,1.67,25.71,46.02,51.09,82.49,106176.06,223419.83,22.69,9.47,698.97,6482.34,1567.94,899.11,1064.06,609.29,61.63,-13378.03,133774.52,2990949.42,18205769.32,47548.82,953.73,93427.56,1639504.88,385421.68,243455.10,130232.35,169543.79,1732948.47,2880360.60,859229.70,0.00
2024-02-26,-2.41,-3.39,97.18,270.08,0.55,1.06,1.21,13.73,5.98,0.38,1.30,1.41,29.24,61.35,54.50,85.35,115701.28,241661.79,22.37,1104.86,698.56,6519.03,3749.88,221.17,825.33,600.00,245.02,106239.74,212703.17,3453217.24,84770738.22,221992.99,2273745.08,54630.28,11833426.14,9699266.42,32827.65,573699.99,641152.54,6577974.64,5670703.90,3327826.20,0.00
2024-02-27,-1.80,-2.44,94.66,278.35,0.79,0.11,4.28,15.92,6.66,0.96,1.29,2.03,37.54,61.05,55.22,75.22,111879.45,249043.67,30.08,133.51,2421.24,7496.25,4289.52,564.27,824.67,598.06,109.13,100702.46,192426.90,6328788.90,27583315.61,76872.13,268184.30,2152956.24,4366361.13,3429281.03,862025.52,140886.91,602999.28,3521744.75,6122266.54,3896542.91,0.00
2024-02-28,-2.15,-4.38,95.05,271.60,0.62,0.00,4.27,17.07,7.81,0.71,1.29,1.54,36.46,104.66,55.03,77.65,112128.91,242934.50,22.50,5.08,2376.44,7946.25,4754.98,419.44,823.29,556.63,85.60,66764.68,241345.05,6079456.04,25861500.32,57717.32,145.50,419068.40,2091730.62,1324072.07,65617.13,119416.30,192468.82,3699789.60,6516019.35,2938551.27,0.00
2024-02-29,-2.07,-3.51,96.89,284.86,0.64,1.28,3.65,31.10,13.41,1.77,1.18,1.41,47.13,63.73,52.73,83.19,114383.51,255100.19,24.56,1269.45,2050.36,14114.55,8029.18,1043.26,754.17,585.73,556.38,306480.53,184275.81,6384430.89,184034339.13,705059.77,1865681.12,411849.00,16242634.90,21194307.18,228020.61,305136.60,2298463.49,48627035.71,12202063.47,12341812.58,0.00
2024-03-01,-1.78,-5.02,97.69,283.98,0.99,0.00,1.58,22.04,4.74,1.95,1.23,1.67,35.13,57.60,55.67,82.89,115561.53,254159.80,37.94,0.56,910.79,9736.63,2957.12,1150.92,786.04,601.68,93.20,74939.97,289041.67,7221492.37,27526620.53,95214.08,40.03,148627.11,2569202.06,653019.63,241419.69,116878.10,202240.32,4175504.80,5015694.54,3038654.72,0.00
2024-03-02,-1.89,-4.91,89.87,258.46,0.59,0.00,0.70,15.60,3.74,0.47,1.21,1.55,25.95,61.38,48.08,74.18,106511.46,231157.48,22.43,0.07,401.88,7216.22,2325.32,279.29,774.34,606.42,72.22,20076.30,102689.31,3818247.34,21035330.73,52269.03,1.41,16585.88,1873663.37,626696.43,42847.87,90559.64,159465.98,2563939.81,3626519.79,1149546.00,0.00
2024-03-03,-1.77,-5.62,84.05,248.88,0.64,0.00,0.93,13.32,4.05,0.00,1.19,1.00,19.61,78.91,44.66,76.05,99690.80,222506.64,23.73,0.04,533.93,6319.32,2583.45,0.00,761.81,587.41,62.74,-17852.20,269808.98,-117433.45,22352886.80,60869.56,-0.13,-8061.82,2006928.77,730484.96,0.00,126657.29,79233.63,1262282.80,1815831.39,1860594.72,0.00
2024-03-04,-1.59,-3.20,85.20,260.82,0.87,0.00,1.10,14.25,2.75,0.71,1.27,1.36,25.74,73.20,50.97,77.78,101039.71,233234.89,33.31,0.10,630.62,6720.64,1812.07,419.36,802.48,583.02,66.79,-3003.79,185595.64,1424077.70,21055809.89,66328.46,9.26,70656.40,1789542.26,374411.52,99850.69,124850.34,106331.15,1556223.23,2926904.97,2913240.52,0.00
